"Story","Title","Result","Date","Stability","Duration (s)"
"To validate the comments for the post made by specific user","To validate if emails in the comment section are in the proper format","SUCCESS","21:40:58","0.0","61.66"
"To validate the comments for the post made by specific user","To validate if name in the comment is not empty","SUCCESS","21:42:00","0.0","39.06"
"To validate the comments for the post made by specific user","To validate if body in the comment is not empty","SUCCESS","21:42:39","0.0","13.7"
"To validate the comments for the post made by specific user","To validate if length of body in the comment is not less than given characters","SUCCESS","21:42:53","0.0","13.91"
