"Story","Title","Result","Date","Stability","Duration (s)"
"To validate the comments for the post made by specific user","To validate if emails in the comment section are in the proper format","SUCCESS","15:37:50","0.0","21.39"
"To validate the comments for the post made by specific user","To validate if name in the comment is not empty","SUCCESS","15:38:12","0.0","12.73"
"To validate the comments for the post made by specific user","To validate if body in the comment is not empty","SUCCESS","15:38:24","0.0","12.51"
"To validate the comments for the post made by specific user","To validate if length of body in the comment is not less than given characters","SUCCESS","15:38:37","0.0","11.96"
