"Story","Title","Result","Date","Stability","Duration (s)"
"To validate the comments for the post made by specific user","To validate if length of body in the comment is not less than given characters","SUCCESS","13:59:19","0.0","29.09"
"To validate the comments for the post made by specific user","To validate if emails in the comment section are in the proper format","SUCCESS","13:28:52","0.0","517.62"
"To validate the comments for the post made by specific user","To validate if name in the comment is not empty","SUCCESS","13:37:29","0.0","351.87"
"To validate the comments for the post made by specific user","To validate if body in the comment is not empty","SUCCESS","13:43:21","0.0","346.2"
"To validate the comments for the post made by specific user","To validate if length of body in the comment is not less than 30 characters","SUCCESS","13:49:08","0.0","325.59"
